Id,name,barcode,type,model,qty,qty_balance,price,price_yuan,supplier,branch,status,technicianId,machinery_no,replace_capacity,purchase_date,rental_rate,engine_model,serial_no,alternator_serial_no,capacity,min_litre,consumption,brand,engine_no,width,length,height,oem,description,balance_treshold,rack_no,maxTechhold,maxOrder,owner
73,SC073,SC073,GENSET,UD50F3,0,,0,0,,,Idle,0,SC073,,01-May-08,0.00,F3L,,,30KVA,0,0,,80206,0,0,0,0,0,0,0,0,0,0
74,SC074,SC074,GENSET,UD50F3,0,,0,0,,,Idle,0,SC074,,01-May-08,0.00,F3L,,,30KVA,0,0,,80204,0,0,0,0,0,0,0,0,0,0
76,SC076,SC076,GENSET,UD25F2,0,,0,0,,,Idle,0,SC076,,12-Oct-13,0.00,F2L,,,20KVA,0,0,,111132,106,135,119,0,0,0,0,0,0,0
77,SC077,SC077,GENSET,UD20F1,0,,0,0,,,Idle,0,SC077,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1211077,81,135,123,0,0,0,0,0,0,0
78,SC078,SC078,GENSET,UD20F1,0,,0,0,,,Idle,0,SC078,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1501014,81,135,123,0,0,0,0,0,0,0
79,SC079,SC079,GENSET,UD50F3,0,,0,0,,,Idle,0,SC079,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,81195,0,0,0,0,0,0,0,0,0,0
83,SC083,SC083,GENSET,UD25F2,0,,0,0,,,Idle,0,SC083,,01-Oct-09,0.00,F2L,,,20KVA,0,0,,1501011,106,135,119,0,0,0,0,0,0,0
84,SC084,SC084,GENSET,UD20F1,0,,0,0,,,Idle,0,SC084,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1505132,81,135,123,0,0,0,0,0,0,0
85,SC085,SC085,GENSET,UD50F3,0,,0,0,,,Idle,0,SC085,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,81200,0,0,0,0,0,0,0,0,0,0
86,SC086,SC086,GENSET,UD50F3,0,,0,0,,,Idle,0,SC086,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,81203,0,0,0,0,0,0,0,0,0,0
87,SC087,SC087,GENSET,UD50F3,0,,0,0,,,Idle,0,SC087,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,81204,0,0,0,0,0,0,0,0,0,0
88,SC088,SC088,GENSET,UD50F3,0,,0,0,,,Idle,0,SC088,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,91541,0,0,0,0,0,0,0,0,0,0
89,SC089,SC089,GENSET,UD50F3,0,,0,0,,,Idle,0,SC089,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,83796,0,0,0,0,0,0,0,0,0,0
90,SC090,SC090,GENSET,UD50F3,0,,0,0,,,Idle,0,SC090,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,81196,0,0,0,0,0,0,0,0,0,0
91,SC091,SC091,GENSET,UD50F3,0,,0,0,,,Idle,0,SC091,,01-Oct-09,0.00,F3L,,,30KVA,0,0,,81206,0,0,0,0,0,0,0,0,0,0
92,SC092,SC092,GENSET,UD50F3,0,,0,0,,,Idle,0,SC092,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,81201,0,0,0,0,0,0,0,0,0,0
93,SC093,SC093,GENSET,UD50F3,0,,0,0,,,Idle,0,SC093,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,81197,0,0,0,0,0,0,0,0,0,0
94,SC094,SC094,GENSET,UD50F3,0,,0,0,,,Idle,0,SC094,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,81865,0,0,0,0,0,0,0,0,0,0
95,SC095,SC095,GENSET,UD30IS,0,,0,0,,,Idle,0,SC095,,01-Sep-08,0.00,4JB1,25EXS-13110078,,25KVA,0,0,,D37972,90,228,123,0,0,0,0,0,0,0
96,SC096,SC096,GENSET,UD25F2,0,,0,0,,,Idle,0,SC096,,06-Jan-14,0.00,F2L,,,20KVA,0,0,,61243,106,135,119,0,0,0,0,0,0,0
97,SC097,SC097,GENSET,UD50F3,0,,0,0,,,Idle,0,SC097,,,0.00,F3L,,,30KVA,0,0,,81866,0,0,0,0,0,0,0,0,0,0
98,SC098,SC098,GENSET,UD50F3,0,,0,0,,,Idle,0,SC098,,01-Sep-08,0.00,F3L,,,30KVA,0,0,,81761,0,0,0,0,0,0,0,0,0,0
99,SC099,SC099,GENSET,UD50F3,0,,0,0,,,Idle,0,SC099,,01-Sep-08,0.00,F3L,,,30KVA,0,0,,81760,0,0,0,0,0,0,0,0,0,0
100,SC100,SC100,GENSET,UD50F3,0,,0,0,,,Idle,0,SC100,,01-Sep-08,0.00,F3L,,,30KVA,0,0,,81758,0,0,0,0,0,0,0,0,0,0
101,SC101,SC101,GENSET,UD50F3,0,,0,0,,,Idle,0,SC101,,01-Sep-08,0.00,F3L,,,30KVA,0,0,,81759,0,0,0,0,0,0,0,0,0,0
102,SC102,SC102,GENSET,UD50F3,0,,0,0,,,Idle,0,SC102,,01-Sep-08,0.00,F3L,,,30KVA,0,0,,81763,0,0,0,0,0,0,0,0,0,0
103,SC103,SC103,GENSET,UD20F1,0,,0,0,,,Idle,0,SC103,,01-Sep-08,0.00,F1L,,,10KVA,0,0,,1303109,81,135,123,0,0,0,0,0,0,0
104,SC104,SC104,GENSET,UD20F1,0,,0,0,,,Idle,0,SC104,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1305068,81,135,123,0,0,0,0,0,0,0
105,SC105,SC105,GENSET,UD30IS,0,,0,0,,,Idle,0,SC105,,12-Oct-13,0.00,4JB1,25EXS-13110079,,25KVA,0,0,,D37966,90,228,123,0,0,0,0,0,0,0
106,SC106,SC106,GENSET,UD20F1,0,,0,0,,,Idle,0,SC106,,06-Jan-14,0.00,F1L,,,10KVA,0,0,,1307009,81,135,123,0,0,0,0,0,0,0
107,SC107,SC107,GENSET,UD20F1,0,,0,0,,,Idle,0,SC107,,13-May-13,0.00,F1L,,,10KVA,0,0,,150515,81,135,123,0,0,0,0,0,0,0
108,SC108,SC108,GENSET,UD20F1,0,,0,0,,,Idle,0,SC108,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,121175,81,135,123,0,0,0,0,0,0,0
109,SC109,SC109,GENSET,UD20F1,0,,0,0,,,Idle,0,SC109,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1307004,81,135,123,0,0,0,0,0,0,0
110,SC110,SC110,GENSET,UD20F1,0,,0,0,,,Idle,0,SC110,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1505123,81,135,123,0,0,0,0,0,0,0
111,SC111,SC111,GENSET,UD50F3,0,,0,0,,,Idle,0,SC111,,12-Oct-13,0.00,F3L,,,30KVA,0,0,,83744,0,0,0,0,0,0,0,0,0,0
112,SC112,SC112,GENSET,UD50F3,0,,0,0,,,Idle,0,SC112,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,83745,0,0,0,0,0,0,0,0,0,0
113,SC113,SC113,GENSET,UD50F3,0,,0,0,,,Idle,0,SC113,,01-Jan-09,0.00,F3L,,,30KVA,0,0,,83756,0,0,0,0,0,0,0,0,0,0
114,SC114,SC114,GENSET,UD50F3,0,,0,0,,,Idle,0,SC114,,01-Jan-09,0.00,F3L,,,30KVA,0,0,,83750,0,0,0,0,0,0,0,0,0,0
115,SC115,SC115,GENSET,UD50F3,0,,0,0,,,Idle,0,SC115,,01-Jan-09,0.00,F3L,,,30KVA,0,0,,83754,0,0,0,0,0,0,0,0,0,0
116,SC116,SC116,GENSET,UD50F3,0,,0,0,,,Idle,0,SC116,,01-Jan-09,0.00,F3L,,,30KVA,0,0,,91544,0,0,0,0,0,0,0,0,0,0
117,SC117,SC117,GENSET,UD50F3,0,,0,0,,,Idle,0,SC117,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,83742,0,0,0,0,0,0,0,0,0,0
118,SC118,SC118,GENSET,UD50F3,0,,0,0,,,Idle,0,SC118,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,83752,0,0,0,0,0,0,0,0,0,0
119,SC119,SC119,GENSET,UD25F2,0,,0,0,,,Idle,0,SC119,,01-Jun-08,0.00,F2L,,,20KVA,0,0,,83799,106,135,119,0,0,0,0,0,0,0
120,SC120,SC120,GENSET,UD50F3,0,,0,0,,,Idle,0,SC120,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,83755,0,0,0,0,0,0,0,0,0,0
121,SC121,SC121,GENSET,UD50F3,0,,0,0,,,Idle,0,SC121,,01-May-08,0.00,F3L,,,30KVA,0,0,,83757,0,0,0,0,0,0,0,0,0,0
122,SC122,SC122,GENSET,UD25F2,0,,0,0,,,Idle,0,SC122,,01-May-08,0.00,F2L,,,20KVA,0,0,,1501016,106,135,119,0,0,0,0,0,0,0
124,SC124,SC124,GENSET,UD25F2,0,,0,0,,,Idle,0,SC124,,,0.00,F2L,,,20KVA,0,0,,100832,106,135,119,0,0,0,0,0,0,0
127,SC127,SC127,GENSET,UD25F2,0,,0,0,,,Idle,0,SC127,,,0.00,F2L,,,20KVA,0,0,,5201051,106,135,119,0,0,0,0,0,0,0
128,SC128,SC128,GENSET,UD50F3,0,,0,0,,,Idle,0,SC128,,01-Aug-12,0.00,F3L,,,30KVA,0,0,,81198,0,0,0,0,0,0,0,0,0,0
129,SC129,SC129,GENSET,UD50F3,0,,0,0,,,Idle,0,SC129,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,91526,0,0,0,0,0,0,0,0,0,0
130,SC130,SC130,GENSET,UD20F1,0,,0,0,,,Idle,0,SC130,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1402021,81,135,123,0,0,0,0,0,0,0
131,SC131,SC131,GENSET,UD20F1,0,,0,0,,,Idle,0,SC131,,12-Oct-13,0.00,F1L,,,10KVA,0,0,,1800501,81,135,123,0,0,0,0,0,0,0
132,SC132,SC132,GENSET,UD50F3,0,,0,0,,,Idle,0,SC132,,31-Mar-18,0.00,F3L,,,30KVA,0,0,,91529,0,0,0,0,0,0,0,0,0,0
133,SC133,SC133,GENSET,UD50F3,0,,0,0,,,Idle,0,SC133,,01-Oct-09,0.00,F3L,,,30KVA,0,0,,91530,0,0,0,0,0,0,0,0,0,0
134,SC134,SC134,GENSET,UD50F3,0,,0,0,,,Idle,0,SC134,,01-Oct-09,0.00,F3L,,,30KVA,0,0,,91531,0,0,0,0,0,0,0,0,0,0
135,SC135,SC135,GENSET,UD50F3,0,,0,0,,,Idle,0,SC135,,01-Jun-08,0.00,F3L,,,30KVA,0,0,,2236209,0,0,0,0,0,0,0,0,0,0
136,SC136,SC136,GENSET,UD20F1,0,,0,0,,,Idle,0,SC136,,01-Jun-08,0.00,F1L,,,10KVA,0,0,,20190420,81,135,123,0,0,0,0,0,0,0
137,SC137,SC137,GENSET,UD50F3,0,,0,0,,,Idle,0,SC137,,12-Oct-13,0.00,F3L,,,30KVA,0,0,,91534,0,0,0,0,0,0,0,0,0,0
138,SC138,SC138,GENSET,UD50F3,0,,0,0,,,Idle,0,SC138,,01-May-08,0.00,F3L,,,30KVA,0,0,,91535,0,0,0,0,0,0,0,0,0,0
139,SC139,SC139,GENSET,UD20F1,0,,0,0,,,Idle,0,SC139,,01-Oct-09,0.00,F1L,,,10KVA,0,0,,1303124,81,135,123,0,0,0,0,0,0,0
140,SC140,SC140,GENSET,UD50F3,0,,0,0,,,Idle,0,SC140,,13-May-13,0.00,F3L,,,30KVA,0,0,,81199,0,0,0,0,0,0,0,0,0,0
141,SC141,SC141,GENSET,UD50F3,0,,0,0,,,Idle,0,SC141,,01-Oct-09,0.00,F3L,,,30KVA,0,0,,91538,0,0,0,0,0,0,0,0,0,0
142,SC142,SC142,GENSET,UD50F3,0,,0,0,,,Idle,0,SC142,,01-Oct-09,0.00,F3L,,,30KVA,0,0,,91539,0,0,0,0,0,0,0,0,0,0
143,SC143,SC143,GENSET,UD50F3,0,,0,0,,,Idle,0,SC143,,01-Oct-09,0.00,F3L,,,30KVA,0,0,,91540,0,0,0,0,0,0,0,0,0,0
144,SC144,SC144,GENSET,UD50F3,0,,0,0,,,Idle,0,SC144,,01-Oct-09,0.00,F3L,,,30KVA,0,0,,72891,0,0,0,0,0,0,0,0,0,0
145,SC145,SC145,GENSET,UD50F3,0,,0,0,,,Idle,0,SC145,,01-Oct-09,0.00,F3L,,,30KVA,0,0,,91542,0,0,0,0,0,0,0,0,0,0
146,SC146,SC146,GENSET,UD50F3,0,,0,0,,,Idle,0,SC146,,01-Oct-09,0.00,F3L,,,30KVA,0,0,,91543,0,0,0,0,0,0,0,0,0,0
147,SC147,SC147,GENSET,UD50F3,0,,0,0,,,Idle,0,SC147,,01-Oct-09,0.00,F3L,,,30KVA,0,0,,91556,0,0,0,0,0,0,0,0,0,0
148,SC148,SC148,GENSET,UD50F3,0,,0,0,,,Idle,0,SC148,,01-May-08,0.00,F3L,,,30KVA,0,0,,91545,0,0,0,0,0,0,0,0,0,0
